playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent,week_num,ease_factor
11635,Ladd McConkey,LAC,WR,7.4,13.4,10.4,,,,,,,,,9.0,6.0,74.0,,55.0,KC,1,0.83
8154,Brian Robinson,SF,RB,3.7,4.7,4.2,,,,,,9.0,33.0,,2.0,1.0,4.0,,18.0,SEA,1,0.945
11806,Casey Washington,ATL,WR,3.3,6.3,4.8,,,,,,,,,6.0,3.0,33.0,,72.0,TB,1,1.156
11620,Rome Odunze,CHI,WR,9.7,15.7,12.7,,,,,,,,,9.0,6.0,37.0,1.0,63.0,MIN,1,0.98
10232,Michael Wilson,ARI,WR,0.5,1.5,1.0,,,,,,,,,4.0,1.0,5.0,,44.0,NO,1,0.949
6804,Jordan Love,GB,QB,15.9,15.9,15.9,22.0,16.0,188.0,2.0,,3.0,4.0,,,,,,48.0,DET,1,1.104
7496,Nick Westbrook-Ikhine,MIA,WR,0.7,1.7,1.2,,,,,,,,,2.0,1.0,7.0,,21.0,IND,1,1.163
3634,Kalif Raymond,DET,WR,1.6,3.6,2.6,,,,,,,,,3.0,2.0,16.0,,44.0,GB,1,1.089
8500,John FitzPatrick,GB,TE,0.2,1.2,0.7,,,,,,,,,1.0,1.0,2.0,,15.0,DET,1,1.017
5906,Dawson Knox,BUF,TE,2.0,4.0,3.0,,,,,,,,,2.0,2.0,20.0,,48.0,BAL,1,0.902
8205,Isiah Pacheco,KC,RB,2.8,4.8,3.8,,,,,,5.0,25.0,,3.0,2.0,3.0,,31.0,LAC,1,1.01
8110,Jake Ferguson,DAL,TE,2.3,7.3,4.8,,,,,,,,,6.0,5.0,23.0,,47.0,PHI,1,0.723
7842,Luke Farrell,SF,TE,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,44.0,SEA,1,1.281
1339,Zach Ertz,WAS,TE,8.6,11.6,10.1,,,,,,,,,5.0,3.0,26.0,1.0,45.0,NYG,1,0.996
11589,Trey Benson,ARI,RB,7.5,8.5,8.0,,,,,,8.0,69.0,,1.0,1.0,6.0,,22.0,NO,1,1.024
4046,Patrick Mahomes,KC,QB,26.0,26.0,26.0,39.0,24.0,258.0,1.0,,6.0,57.0,1.0,,,,,61.0,LAC,1,0.782
7564,Ja'Marr Chase,CIN,WR,2.6,4.6,3.6,,,,,,,,,5.0,2.0,26.0,,45.0,CLE,1,1.258
8125,Calvin Austin,PIT,WR,13.0,17.0,15.0,,,,,,,,,6.0,4.0,70.0,1.0,45.0,NYJ,1,0.965
7587,Dyami Brown,JAX,WR,5.8,8.8,7.3,,,,,,2.0,6.0,,4.0,3.0,52.0,,47.0,CAR,1,0.855
8117,Jalen Tolbert,DAL,WR,,1.0,0.5,,,,,,,,,2.0,1.0,,,27.0,PHI,1,0.894
6797,Justin Herbert,LAC,QB,27.9,27.9,27.9,34.0,25.0,318.0,3.0,,7.0,32.0,,,,,,65.0,KC,1,0.928
6801,Tee Higgins,CIN,WR,3.3,6.3,4.8,,,,,,,,,4.0,3.0,33.0,,41.0,CLE,1,1.258
10859,Sam LaPorta,DET,TE,7.9,13.9,10.9,,,,,,,,,9.0,6.0,79.0,,61.0,GB,1,1.206
11633,Jamari Thrash,CLE,WR,0.6,1.6,1.1,,,,,,,,,1.0,1.0,6.0,,21.0,CIN,1,1.111
9501,DeMario Douglas,NE,WR,6.2,8.2,7.2,,,,,,1.0,4.0,,7.0,2.0,-2.0,1.0,45.0,LV,1,1.101
8180,Jalen Nailor,MIN,WR,2.8,3.8,3.3,,,,,,,,,3.0,1.0,28.0,,49.0,CHI,1,1.319
12519,Luther Burden,CHI,WR,-0.3,0.7,0.2,,,,,,,,,1.0,1.0,-3.0,,18.0,MIN,1,0.98
9486,Dontayvion Wicks,GB,WR,3.0,5.0,4.0,,,,,,,,,2.0,2.0,30.0,,22.0,DET,1,1.06
4881,Lamar Jackson,BAL,QB,29.4,29.4,29.4,19.0,14.0,209.0,2.0,,6.0,70.0,1.0,,,,,51.0,BUF,1,0.917
4219,Jeremy McNichols,WAS,RB,2.5,2.5,2.5,,,,,,4.0,25.0,,,,,,13.0,NYG,1,1.414
2133,Davante Adams,LAR,WR,5.1,9.1,7.1,,,,,,,,,8.0,4.0,51.0,,54.0,HOU,1,0.757
96,Aaron Rodgers,PIT,QB,25.7,25.7,25.7,30.0,22.0,244.0,4.0,,1.0,-1.0,,,,,,56.0,NYJ,1,1.057
5872,Deebo Samuel,WAS,WR,15.6,22.6,19.1,,,,,,1.0,19.0,1.0,10.0,7.0,77.0,,54.0,NYG,1,1.056
9480,Brenton Strange,JAX,TE,5.9,9.9,7.9,,,,,,,,,4.0,4.0,59.0,,52.0,CAR,1,1.154
4892,Baker Mayfield,TB,QB,22.6,22.6,22.6,32.0,17.0,167.0,3.0,,5.0,39.0,,,,,,58.0,ATL,1,0.891
4137,James Conner,ARI,RB,10.4,14.4,12.4,,,,,,12.0,39.0,,4.0,4.0,5.0,1.0,43.0,NO,1,1.024
8145,Jeremy Ruckert,NYJ,TE,1.6,3.6,2.6,,,,,,,,,2.0,2.0,16.0,,29.0,PIT,1,1.306
12518,Tyler Warren,IND,TE,7.9,14.9,11.4,,,,,,1.0,3.0,,9.0,7.0,76.0,,53.0,MIA,1,1.359
9506,Sean Tucker,TB,RB,0.2,0.2,0.2,,,,,,1.0,2.0,,,,,,2.0,ATL,1,1.012
12509,Tre' Harris,LAC,WR,1.1,2.1,1.6,,,,,,,,,1.0,1.0,11.0,,5.0,KC,1,0.83
5947,Jakobi Meyers,JAX,WR,9.7,17.7,13.7,,,,,,,,,10.0,8.0,97.0,,59.0,CAR,1,0.855
4988,Nick Chubb,HOU,RB,6.0,6.0,6.0,,,,,,13.0,60.0,,1.0,,,,32.0,LAR,1,0.656
11638,Ricky Pearsall,SF,WR,10.8,14.8,12.8,,,,,,,,,7.0,4.0,108.0,,64.0,SEA,1,0.97
12514,Emeka Egbuka,TB,WR,19.6,23.6,21.6,,,,,,1.0,9.0,,6.0,4.0,67.0,2.0,54.0,ATL,1,0.863
7569,Nico Collins,HOU,WR,2.5,5.5,4.0,,,,,,,,,5.0,3.0,25.0,,53.0,LAR,1,0.988
9228,Bryce Young,CAR,QB,10.2,10.2,10.2,35.0,18.0,154.0,1.0,2.0,5.0,40.0,,,,,,64.0,JAX,1,1.323
5973,Josh Oliver,MIN,TE,0.5,1.5,1.0,,,,,,,,,1.0,1.0,5.0,,27.0,CHI,1,1.13
8408,Jordan Mason,MIN,RB,7.5,8.5,8.0,,,,,,15.0,68.0,,1.0,1.0,7.0,,30.0,CHI,1,1.218
7021,Rico Dowdle,CAR,RB,1.6,3.6,2.6,,,,,,3.0,12.0,,3.0,2.0,4.0,,22.0,JAX,1,0.904
8137,George Pickens,DAL,WR,3.0,6.0,4.5,,,,,,,,,4.0,3.0,30.0,,56.0,PHI,1,0.894
7694,Tommy Tremble,CAR,TE,0.2,1.2,0.7,,,,,,,,,1.0,1.0,2.0,,29.0,JAX,1,1.098
9484,Tucker Kraft,GB,TE,7.9,9.9,8.9,,,,,,1.0,3.0,,4.0,2.0,16.0,1.0,44.0,DET,1,1.017
11597,Theo Johnson,NYG,TE,0.5,1.5,1.0,,,,,,,,,3.0,1.0,5.0,,53.0,WAS,1,1.151
11576,Braelon Allen,NYJ,RB,6.9,6.9,6.9,,,,,,6.0,9.0,1.0,,,,,20.0,PIT,1,0.948
7596,Elijah Moore,BUF,WR,1.1,2.1,1.6,,,,,,1.0,8.0,,1.0,1.0,3.0,,12.0,BAL,1,1.213
8146,Garrett Wilson,NYJ,WR,15.5,22.5,19.0,,,,,,,,,9.0,7.0,95.0,1.0,64.0,PIT,1,1.383
4663,Austin Ekeler,WAS,RB,5.7,8.7,7.2,,,,,,6.0,26.0,,3.0,3.0,31.0,,33.0,NYG,1,1.414
8208,Tyler Badie,DEN,RB,1.6,3.6,2.6,,,,,,,,,6.0,2.0,16.0,,14.0,TEN,1,1.243
11586,Blake Corum,LAR,RB,1.6,2.6,2.1,,,,,,1.0,2.0,,1.0,1.0,14.0,,10.0,HOU,1,0.92
8225,Daniel Bellinger,NYG,TE,1.4,2.4,1.9,,,,,,,,,1.0,1.0,14.0,,15.0,WAS,1,1.151
12504,Kaleb Johnson,PIT,RB,-0.2,-0.2,-0.2,,,,,,1.0,-2.0,,,,,,2.0,NYJ,1,1.154
12474,Woody Marks,HOU,RB,0.3,0.3,0.3,,,,,,3.0,3.0,,,,,,7.0,LAR,1,0.656
4040,JuJu Smith-Schuster,KC,WR,5.5,10.5,8.0,,,,,,,,,5.0,5.0,55.0,,49.0,LAC,1,0.799
3321,Tyreek Hill,MIA,WR,4.0,8.0,6.0,,,,,,,,,6.0,4.0,40.0,,30.0,IND,1,1.163
2216,Mike Evans,TB,WR,5.1,10.1,7.6,,,,,,,,,8.0,5.0,51.0,,48.0,ATL,1,0.863
7562,Tutu Atwell,LAR,WR,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,25.0,HOU,1,0.757
8132,Tyler Allgeier,ATL,RB,2.4,2.4,2.4,,,,,,10.0,24.0,,,,,,19.0,TB,1,1.012
8254,Julius Chestnut,TEN,RB,0.2,0.2,0.2,,,,,,2.0,2.0,,,,,,6.0,DEN,1,0.893
12489,RJ Harvey,DEN,RB,6.9,7.9,7.4,,,,,,6.0,70.0,,1.0,1.0,-1.0,,22.0,TEN,1,1.243
7535,Hunter Long,JAX,TE,6.6,7.6,7.1,,,,,,,,,1.0,1.0,6.0,1.0,6.0,CAR,1,1.154
12482,Savion Williams,GB,WR,0.1,1.1,0.6,,,,,,,,,1.0,1.0,1.0,,3.0,DET,1,1.06
11959,Bryce Oliver,TEN,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,3.0,DEN,1,0.738
3198,Derrick Henry,BAL,RB,28.2,29.2,28.7,,,,,,18.0,169.0,2.0,1.0,1.0,13.0,,29.0,BUF,1,1.148
12522,Cam Ward,TEN,QB,2.5,2.5,2.5,28.0,12.0,112.0,,,,,,,,,,57.0,DEN,1,0.764
8143,Jerome Ford,CLE,RB,0.5,1.5,1.0,,,,,,6.0,8.0,,1.0,1.0,-3.0,,41.0,CIN,1,1.588
9493,Puka Nacua,LAR,WR,13.1,23.1,18.1,,,,,,1.0,1.0,,11.0,10.0,130.0,,38.0,HOU,1,0.757
4981,Calvin Ridley,TEN,WR,2.7,6.7,4.7,,,,,,,,,8.0,4.0,27.0,,54.0,DEN,1,0.738
4171,Josh Reynolds,NYJ,WR,1.8,3.8,2.8,,,,,,,,,3.0,2.0,18.0,,62.0,PIT,1,1.383
11577,Will Shipley,PHI,RB,2.6,2.6,2.6,,,,,,3.0,26.0,,,,,,5.0,DAL,1,1.259
12540,Chimere Dike,TEN,WR,0.9,0.9,0.9,,,,,,1.0,9.0,,1.0,,,,10.0,DEN,1,0.738
5859,A.J. Brown,PHI,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,55.0,DAL,1,1.461
4034,Christian McCaffrey,SF,RB,14.2,23.2,18.7,,,,,,22.0,69.0,,10.0,9.0,73.0,,58.0,SEA,1,0.945
7591,Justin Fields,NYJ,QB,29.5,29.5,29.5,22.0,16.0,218.0,1.0,,12.0,48.0,2.0,,,,,64.0,PIT,1,1.235
4866,Saquon Barkley,PHI,RB,14.4,18.4,16.4,,,,,,18.0,60.0,1.0,5.0,4.0,24.0,,50.0,DAL,1,1.259
5967,Tony Pollard,TEN,RB,6.9,7.9,7.4,,,,,,18.0,60.0,,1.0,1.0,29.0,,51.0,DEN,1,0.893
12641,Jaylin Lane,WAS,WR,1.1,2.1,1.6,,,,,,,,,2.0,1.0,11.0,,21.0,NYG,1,1.056
10213,Tre Tucker,LV,WR,11.4,13.4,12.4,,,,,,,,,3.0,2.0,54.0,1.0,57.0,NE,1,1.222
8130,Trey McBride,ARI,TE,6.1,12.1,9.1,,,,,,,,,9.0,6.0,61.0,,64.0,NO,1,1.143
8142,Alec Pierce,IND,WR,3.6,4.6,4.1,,,,,,,,,3.0,1.0,36.0,,58.0,MIA,1,0.882
3214,Hunter Henry,NE,TE,6.6,10.6,8.6,,,,,,,,,8.0,4.0,66.0,,66.0,LV,1,0.986
7523,Trevor Lawrence,JAX,QB,11.3,11.3,11.3,31.0,19.0,178.0,1.0,1.0,4.0,12.0,,,,,,66.0,CAR,1,0.862
4066,Evan Engram,DEN,TE,2.1,5.1,3.6,,,,,,,,,4.0,3.0,21.0,,26.0,TEN,1,0.847
12533,Jacory Croskey-Merritt,WAS,RB,14.2,14.2,14.2,,,,,,10.0,82.0,1.0,1.0,,,,23.0,NYG,1,1.414
6945,Antonio Gibson,NE,RB,0.3,0.3,0.3,,,,,,1.0,3.0,,1.0,,,,5.0,LV,1,1.146
11565,J.J. McCarthy,MIN,QB,23.2,23.2,23.2,20.0,13.0,143.0,2.0,1.0,2.0,25.0,1.0,,,,,56.0,CHI,1,1.265
8676,Rashid Shaheed,SEA,WR,3.3,9.3,6.3,,,,,,,,,9.0,6.0,33.0,,64.0,SF,1,1.03
6271,Olamide Zaccheaus,CHI,WR,4.2,8.2,6.2,,,,,,,,,7.0,4.0,42.0,,30.0,MIN,1,0.98
12527,Ashton Jeanty,LV,RB,10.0,12.0,11.0,,,,,,19.0,38.0,1.0,2.0,2.0,2.0,,54.0,NE,1,0.921
4983,DJ Moore,CHI,WR,5.6,8.6,7.1,,,,,,3.0,8.0,,5.0,3.0,68.0,,56.0,MIN,1,0.98
5022,Dallas Goedert,PHI,TE,4.4,11.4,7.9,,,,,,,,,7.0,7.0,44.0,,52.0,DAL,1,1.129
1689,Adam Thielen,MIN,WR,2.0,2.0,2.0,,,,,,,,,1.0,,,,32.0,CHI,1,1.319
12495,Ollie Gordon,MIA,RB,0.3,1.3,0.8,,,,,,2.0,4.0,,1.0,1.0,-1.0,,12.0,IND,1,0.988
5133,Tyler Conklin,LAC,TE,5.2,7.2,6.2,,,,,,1.0,2.0,,2.0,2.0,50.0,,28.0,KC,1,0.91
8917,KaVontae Turpin,DAL,WR,2.7,4.7,3.7,,,,,,2.0,9.0,,2.0,2.0,18.0,,28.0,PHI,1,0.894
11655,Tyrone Tracy,NYG,RB,3.5,5.5,4.5,,,,,,10.0,24.0,,5.0,2.0,11.0,,50.0,WAS,1,0.969
9226,De'Von Achane,MIA,RB,13.5,16.5,15.0,,,,,,7.0,55.0,,4.0,3.0,20.0,1.0,35.0,IND,1,0.988
9494,Marvin Mims,DEN,WR,-0.8,2.2,0.7,,,,,,,,,4.0,3.0,12.0,,40.0,TEN,1,0.98
11559,Michael Penix,ATL,QB,24.0,24.0,24.0,42.0,27.0,298.0,1.0,,6.0,21.0,1.0,,,,,76.0,TB,1,1.034
4993,Mike Gesicki,CIN,TE,1.4,2.4,1.9,,,,,,,,,3.0,1.0,14.0,,16.0,CLE,1,1.048
11627,Troy Franklin,DEN,WR,4.4,8.4,6.4,,,,,,,,,6.0,4.0,44.0,,45.0,TEN,1,0.98
5955,Hunter Renfrow,CAR,WR,1.1,3.1,2.1,,,,,,,,,6.0,2.0,11.0,,42.0,JAX,1,0.903
6869,Adam Trautman,DEN,TE,0.5,1.5,1.0,,,,,,,,,1.0,1.0,5.0,,44.0,TEN,1,0.847
9509,Bijan Robinson,ATL,RB,18.4,24.4,21.4,,,,,,12.0,24.0,,7.0,6.0,100.0,1.0,63.0,TB,1,1.012
7525,DeVonta Smith,PHI,WR,1.6,4.6,3.1,,,,,,,,,3.0,3.0,16.0,,56.0,DAL,1,1.461
12530,Travis Hunter,JAX,WR,3.3,9.3,6.3,,,,,,,,,8.0,6.0,33.0,,42.0,CAR,1,0.855
12476,Devin Neal,NO,RB,0.9,0.9,0.9,,,,,,2.0,9.0,,,,,,7.0,ARI,1,0.942
12490,Bhayshul Tuten,JAX,RB,1.1,1.1,1.1,,,,,,3.0,11.0,,,,,,4.0,CAR,1,0.939
8112,Drake London,ATL,WR,5.5,13.5,9.5,,,,,,,,,15.0,8.0,55.0,,67.0,TB,1,1.156
11632,Malik Nabers,NYG,WR,7.1,12.1,9.6,,,,,,,,,12.0,5.0,71.0,,64.0,WAS,1,1.036
4177,Mack Hollins,NE,WR,0.3,1.3,0.8,,,,,,,,,2.0,1.0,3.0,,40.0,LV,1,1.101
5848,Marquise Brown,KC,WR,9.9,19.9,14.9,,,,,,,,,16.0,10.0,99.0,,57.0,LAC,1,0.799
11371,Julian Hill,MIA,TE,2.0,2.0,2.0,,,,,,,,,,,,,28.0,IND,1,1.327
6770,Joe Burrow,CIN,QB,8.8,8.8,8.8,23.0,14.0,113.0,1.0,,2.0,3.0,,,,,,52.0,CLE,1,1.022
10214,Davis Allen,LAR,TE,7.3,8.3,7.8,,,,,,,,,2.0,1.0,13.0,1.0,22.0,HOU,1,0.801
12499,Elic Ayomanor,TEN,WR,1.3,3.3,2.3,,,,,,,,,7.0,2.0,13.0,,45.0,DEN,1,0.738
9221,Jahmyr Gibbs,DET,RB,5.0,15.0,10.0,,,,,,9.0,19.0,,10.0,10.0,31.0,,44.0,GB,1,0.805
3163,Jared Goff,DET,QB,11.9,11.9,11.9,39.0,31.0,225.0,1.0,1.0,1.0,-1.0,,,,,,67.0,GB,1,0.934
4039,Cooper Kupp,SEA,WR,1.5,3.5,2.5,,,,,,,,,3.0,2.0,15.0,,46.0,SF,1,1.03
12483,Jack Bech,LV,WR,2.3,3.3,2.8,,,,,,,,,1.0,1.0,23.0,,4.0,NE,1,1.222
10234,Derius Davis,LAC,WR,0.3,0.3,0.3,,,,,,1.0,3.0,,,,,,8.0,KC,1,0.83
8148,Jameson Williams,DET,WR,2.6,6.6,4.6,,,,,,1.0,3.0,,5.0,4.0,23.0,,65.0,GB,1,1.089
10444,Cedric Tillman,CLE,WR,11.2,16.2,13.7,,,,,,,,,8.0,5.0,52.0,1.0,67.0,CIN,1,1.111
7612,Dee Eskridge,MIA,WR,0.9,1.9,1.4,,,,,,,,,2.0,1.0,9.0,,13.0,IND,1,1.163
4217,George Kittle,SF,TE,8.5,12.5,10.5,,,,,,,,,4.0,4.0,25.0,1.0,21.0,SEA,1,1.281
11628,Marvin Harrison,ARI,WR,13.1,18.1,15.6,,,,,,,,,6.0,5.0,71.0,1.0,59.0,NO,1,0.949
1479,Keenan Allen,LAC,WR,12.8,19.8,16.3,,,,,,,,,10.0,7.0,68.0,1.0,40.0,KC,1,0.83
12531,Trevor Etienne,CAR,RB,0.4,0.4,0.4,,,,,,1.0,4.0,,,,,,2.0,JAX,1,0.904
8183,Brock Purdy,SF,QB,18.8,18.8,18.8,35.0,26.0,277.0,2.0,2.0,5.0,17.0,,,,,,76.0,SEA,1,1.032
1234,Russell Wilson,NYG,QB,11.1,11.1,11.1,37.0,17.0,168.0,,,8.0,44.0,,,,,,68.0,WAS,1,1.24
12541,Dont'e Thornton,LV,WR,4.5,6.5,5.5,,,,,,,,,4.0,2.0,45.0,,38.0,NE,1,1.222
8151,Kenneth Walker,SEA,RB,2.4,5.4,3.9,,,,,,10.0,20.0,,3.0,3.0,4.0,,21.0,SF,1,1.101
10236,Dalton Kincaid,BUF,TE,10.8,14.8,12.8,,,,,,,,,4.0,4.0,48.0,1.0,43.0,BAL,1,0.902
7547,Amon-Ra St. Brown,DET,WR,4.5,8.5,6.5,,,,,,,,,6.0,4.0,45.0,,63.0,GB,1,1.089
9481,Luke Musgrave,GB,TE,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,17.0,DET,1,1.017
8129,Dameon Pierce,HOU,RB,0.5,0.5,0.5,,,,,,3.0,5.0,,1.0,,,,7.0,LAR,1,0.656
4080,Zay Jones,ARI,WR,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,31.0,NO,1,0.949
4147,Samaje Perine,CIN,RB,0.6,2.6,1.6,,,,,,,,,2.0,2.0,6.0,,13.0,CLE,1,0.684
12536,Jaylin Noel,HOU,WR,0.7,1.7,1.2,,,,,,,,,2.0,1.0,7.0,,17.0,LAR,1,0.988
6826,Cole Kmet,CHI,TE,3.1,4.1,3.6,,,,,,,,,4.0,1.0,31.0,,60.0,MIN,1,1.109
12526,Tetairoa McMillan,CAR,WR,6.8,11.8,9.3,,,,,,,,,9.0,5.0,68.0,,53.0,JAX,1,0.903
11563,Bo Nix,DEN,QB,8.8,8.8,8.8,40.0,25.0,176.0,1.0,2.0,8.0,18.0,,,,,,76.0,TEN,1,0.914
2449,Stefon Diggs,NE,WR,5.7,11.7,8.7,,,,,,,,,7.0,6.0,57.0,,29.0,LV,1,1.101
7567,Kenneth Gainwell,PIT,RB,3.3,6.3,4.8,,,,,,7.0,19.0,,4.0,3.0,4.0,,30.0,NYJ,1,1.154
7543,Travis Etienne,JAX,RB,15.6,18.6,17.1,,,,,,16.0,143.0,,3.0,3.0,13.0,,40.0,CAR,1,0.939
7757,Ben Skowronek,PIT,WR,9.2,10.2,9.7,,,,,,,,,1.0,1.0,22.0,1.0,10.0,NYJ,1,0.965
11570,Rasheen Ali,BAL,RB,0.5,0.5,0.5,,,,,,1.0,5.0,,,,,,1.0,BUF,1,1.148
12534,Kyle Monangai,CHI,RB,1.1,2.1,1.6,,,,,,,,,1.0,1.0,11.0,,9.0,MIN,1,0.867
8849,Tanner Conner,MIA,TE,2.0,4.0,3.0,,,,,,,,,4.0,2.0,20.0,,28.0,IND,1,1.327
11631,Brian Thomas,JAX,WR,8.0,9.0,8.5,,,,,,1.0,9.0,1.0,7.0,1.0,11.0,,57.0,CAR,1,0.855
5892,David Montgomery,DET,RB,4.3,8.3,6.3,,,,,,11.0,25.0,,4.0,4.0,18.0,,25.0,GB,1,0.805
12469,Dylan Sampson,CLE,RB,9.3,17.3,13.3,,,,,,12.0,29.0,,8.0,8.0,64.0,,33.0,CIN,1,1.588
12502,Gunnar Helm,TEN,TE,1.6,2.6,2.1,,,,,,,,,2.0,1.0,16.0,,23.0,DEN,1,1.197
